index,time,city,temperature,humidity,rainfall
4,04:30,Bangalore,31,62,190.68
14,05:20,Bangalore,23,79,174.58
29,06:35,Bangalore,29,81,150.0
37,07:15,Bangalore,28,73,180.51
41,07:35,Bangalore,29,88,155.93
49,08:15,Bangalore,31,67,160.17
56,08:50,Bangalore,28,74,188.98
57,08:55,Bangalore,22,71,199.15
60,09:10,Bangalore,32,83,163.56
64,09:30,Bangalore,30,74,196.61
71,10:05,Bangalore,31,82,155.93
76,10:30,Bangalore,30,61,194.92
1,04:15,Delhi,25,89,186.44
9,04:55,Delhi,32,65,172.88
11,05:05,Delhi,25,82,176.27
17,05:35,Delhi,23,81,168.64
22,06:00,Delhi,24,88,189.83
27,06:25,Delhi,28,76,176.27
30,06:40,Delhi,20,67,156.78
36,07:10,Delhi,26,63,155.93
40,07:30,Delhi,31,78,178.81
51,08:25,Delhi,31,86,170.34
63,09:25,Delhi,20,82,183.9
10,05:00,Gujrat,32,73,171.19
12,05:10,Gujrat,28,69,155.93
19,05:45,Gujrat,27,89,163.56
25,06:15,Gujrat,24,64,150.85
26,06:20,Gujrat,23,83,155.08
28,06:30,Gujrat,26,64,182.2
33,06:55,Gujrat,24,88,186.44
34,07:00,Gujrat,23,64,165.25
44,07:50,Gujrat,27,76,166.1
53,08:35,Gujrat,21,76,166.1
59,09:05,Gujrat,25,77,174.58
61,09:15,Gujrat,21,60,195.76
62,09:20,Gujrat,22,71,183.05
65,09:35,Gujrat,20,63,152.54
66,09:40,Gujrat,31,67,156.78
68,09:50,Gujrat,31,69,200.0
0,04:10,Hyderabad,20,74,172.03
16,05:30,Hyderabad,20,88,184.75
31,06:45,Hyderabad,28,69,155.93
35,07:05,Hyderabad,26,63,178.81
38,07:20,Hyderabad,32,77,172.03
42,07:40,Hyderabad,32,86,184.75
43,07:45,Hyderabad,31,65,198.31
46,08:00,Hyderabad,33,74,177.12
55,08:45,Hyderabad,26,64,183.05
58,09:00,Hyderabad,31,85,184.75
67,09:45,Hyderabad,31,74,186.44
6,04:40,Mumbai,21,64,190.68
8,04:50,Mumbai,21,67,179.66
13,05:15,Mumbai,21,73,163.56
20,05:50,Mumbai,21,62,172.03
21,05:55,Mumbai,30,69,195.76
45,07:55,Mumbai,21,78,157.63
48,08:10,Mumbai,24,82,189.83
52,08:30,Mumbai,30,81,166.1
69,09:55,Mumbai,23,72,177.12
79,10:45,Mumbai,28,85,184.75
3,04:25,Prayagraj,21,62,178.81
5,04:35,Prayagraj,24,74,158.47
15,05:25,Prayagraj,27,68,193.22
23,06:05,Prayagraj,34,63,175.42
39,07:25,Prayagraj,22,85,178.81
47,08:05,Prayagraj,20,89,160.17
54,08:40,Prayagraj,32,80,162.71
70,10:00,Prayagraj,23,82,180.51
72,10:10,Prayagraj,23,74,160.17
74,10:20,Prayagraj,34,86,183.05
77,10:35,Prayagraj,34,89,150.85
2,04:20,Pune,24,70,191.53
7,04:45,Pune,23,67,161.02
18,05:40,Pune,20,78,200.0
24,06:10,Pune,25,79,160.17
32,06:50,Pune,33,79,192.37
50,08:20,Pune,28,60,189.83
73,10:15,Pune,31,78,164.41
75,10:25,Pune,26,79,156.78
78,10:40,Pune,30,83,153.39
